x,y,Clay,SOC,pH,CEC
17.12648,48.01069,20,18,8.16,19.9
17.02603,47.87284,23,19.8,8.34,19.6
17.0092,47.94611,24,14.5,7.77,20.4
16.93905,48.02286,11,10.7,7.91,8.1
16.93416,47.98707,30,20.2,7.04,21.1
16.90729,48.18739,38,30.9,7.8,25.9
16.86387,47.86506,25,36,7.64,25.8
16.84901,48.15426,15,46.5,8.15,11.1
16.81997,48.13867,23,43.5,7.34,28
16.85745,48.60545,28,16.1,6.47,19.2
16.80766,48.24778,14,14.2,8.32,13.9
16.76145,48.10614,19,15.1,7.63,17.5
16.75884,48.28693,9,25.7,7.62,15.7
16.71594,47.96495,19,39.7,7.08,21.4
16.71116,47.9287,24,13.4,7.71,17.4
16.75817,48.48543,21,13.6,8.07,15.8
16.75078,48.43181,23,18.5,7.87,24.8
16.71229,48.34389,19,17,7.97,14.3
16.72349,48.63359,22,23.1,7.81,20.6
16.56665,47.43188,20,11.6,6.59,11.5
16.59847,48.09748,22,19,7.9,20.3
16.57815,47.93676,23,22.4,7.78,23.6
16.56614,47.84714,29,14,7.15,17.6
16.55664,47.77469,10,14.6,7.95,10.1
16.52057,47.4888,29,15.4,7.3,20.3
16.62045,48.67439,21,23.3,7.8,18.2
16.59821,48.51349,25,14,7.35,19.8
16.58726,48.42365,23,24.9,5,13.4
16.57064,48.29808,9,10.8,8,10.5
16.50022,47.9596,27,33.3,7.53,22.1
16.41234,47.26052,24,25.6,7.69,34.1
16.45527,47.81776,12,28.4,7.67,16.9
16.40396,47.62213,16,26,5.93,13.9
16.48186,48.44792,20,19.3,8.07,14.1
16.41285,47.91014,29,29.7,7.78,24.7
16.40038,47.80262,25,18.9,7.84,19.5
16.33973,47.31909,18,8.6,5.99,22.5
16.47111,48.57492,26,10.2,7.91,19.1
16.46588,48.53916,44,18.2,7.82,24.9
16.43876,48.324,18,15.4,7.33,14.5
16.4092,48.09117,25,22.7,7.95,24.7
16.32888,47.44593,16,9.1,6.25,8
16.30923,47.28461,33,29.5,5.53,17.5
16.2897,47.12323,23,18.3,4.7,4.2
16.28579,47.08768,22,15.4,6,13.5
16.42868,48.66763,28,16.1,7.22,20.7
16.34351,47.98857,41,36.4,7.93,25.3
16.27821,47.46696,10,23.8,5.03,9.4
16.36728,48.40043,24,16.5,7.7,18
16.23629,47.5596,3,47.4,6.35,12.8
16.32026,48.45729,28,13.4,7.84,21.6
