x,y,Clay,SOC,pH,CEC
18.76784,49.53843,28,20,5.05,10.3
18.73392,49.50485,5,162.3,3.68,12.1
18.58298,49.75162,24,12.2,6.09,14.8
18.475,49.6151,24,20,5.03,9.4
18.41639,49.43868,8,37.5,4.01,7.1
18.44883,49.94249,4,11.3,6.87,5.4
18.40854,49.87323,22,14.8,5.06,10.3
18.36524,49.78603,25,24.3,5.4,13
18.36884,49.96658,55,56.1,4.95,27.2
18.25171,49.61361,12,12.1,4.2,5.4
18.23949,49.54222,28,28.8,5.65,14.1
18.24555,49.7406,20,15.2,6.14,9.1
18.16003,49.56609,32,30.2,6.92,23.2
18.10617,49.24458,26,17.2,5.4,11.6
18.19941,49.96091,9,14.7,4.08,4.7
18.19016,49.90734,14,23.1,7.5,11.4
18.11316,49.94902,11,9.4,5.46,4.5
18.00387,49.63151,37,21.5,7.41,25.3
18.02398,49.91922,24,20.5,6.34,12.9
17.94393,49.43693,13,23.4,4.08,7.5
17.92237,49.47461,22,17.6,6.15,12.1
17.85015,49.02789,20,14.1,4.98,11.5
17.98651,50.03031,15,15.5,6.7,16.6
17.93301,49.70878,24,12.5,6.12,12.6
17.86015,49.26212,38,11.6,5.02,11.1
17.882,49.56779,28,17.3,7.13,21.5
17.88958,49.78414,16,57.4,4.23,10.7
17.78957,49.33937,10,16.5,3.97,5.9
17.87536,50.03803,18,19.8,6.48,7.8
17.81681,49.68077,16,14.4,6.81,9.5
17.79654,49.5556,48,27.7,7.21,36.2
17.71405,49.03738,32,14.7,5.21,15.3
17.82997,49.9328,22,13.9,6.96,14.1
17.78768,49.84538,20,18.9,6.29,9.2
17.77031,49.73816,14,41.7,4.93,11.5
17.67919,49.16626,24,23.9,4.74,9.7
17.64291,48.93387,51,24.5,7.65,31.8
17.75712,49.82941,23,66,3.71,15
17.70076,49.65261,21,31.6,4.07,6.4
17.56414,48.9573,48,28.4,6.7,30.5
17.68559,49.90656,22,15.6,7.1,14.3
17.61459,49.45976,30,12.2,6.57,16.6
17.58941,49.29886,28,10.3,7.15,16.8
17.55882,49.10213,22,13.3,7.25,14.7
17.60114,49.55099,24,14.4,6.77,15.2
17.54328,49.5368,26,12.7,7.6,17.6
17.5128,49.34015,27,17.2,6.56,19.2
17.4446,48.89309,51,27.4,6.55,31.7
17.55831,49.98735,22,35.8,3.94,11.2
17.48272,49.50475,23,11.7,7.87,17.2
17.40882,49.20252,16,11.4,4.38,7.1
17.50839,50.02684,16,60.5,4.39,13.2
17.40864,49.38321,35,17.5,6.69,22.3
17.33805,49.09884,40,17.8,6.14,20.7
17.34352,49.49585,16,11.2,6.79,9.7
17.37498,50.0717,9,15.4,4.95,1
17.36941,50.03591,18,15.6,6.67,18
17.24751,49.2312,20,12.5,5.97,10.6
17.17674,48.74814,30,14.8,6.39,18.6
17.23343,49.32236,26,18.3,7.07,19.3
17.28921,49.87857,19,112.2,3.58,14.5
17.28377,49.84281,16,18.6,5.63,7.5
17.2246,49.44934,26,19.4,6.84,18.2
17.15358,48.96635,7,5.8,4.74,4
17.11598,49.27576,27,21,7.72,22.9
17.02863,48.66733,3,7.5,4.94,1
17.11994,49.49218,41,23.3,7.63,35
17.02009,48.99288,27,7.7,8.16,18.8
17.01245,48.9392,21,17.9,7.79,17.3
17.14868,50.24862,17,147.9,3.81,15.7
17.04261,49.53308,29,13.6,7.42,19.6
16.97848,49.08575,13,9.7,4.65,5.7
16.93294,48.76363,26,14.8,8.37,22.4
16.94096,49.01588,22,11,8.24,16.8
16.91833,48.85481,20,20.8,7.68,17.5
17.10636,50.3415,14,17,7.02,12.9
17.0956,50.26994,16,47.2,5.92,22.9
17.06354,50.05534,19,21.3,5.44,10.9
17.04769,49.94801,15,19.6,6.21,8.5
16.86374,48.65918,24,13.8,7.55,18
16.8715,48.91187,27,16.7,8.3,22.8
16.98436,49.89781,12,26.3,4.09,7.9
16.9609,49.73679,15,11.8,7.27,14.2
16.88684,49.21782,31,13.3,8.1,20.2
16.9618,49.93526,13,14.7,7.04,12.7
16.89232,49.45217,17,21.9,5.66,8.7
16.86739,49.47173,16,15.9,5.85,9.1
16.78258,48.86316,39,18.4,7.76,29.4
16.75541,48.66553,30,19.7,7.17,24.3
16.91146,49.97445,24,23.6,5.59,14.7
16.90369,49.92077,16,12,5.91,9.1
16.88824,49.81342,10,12.3,5.37,8.3
16.87082,49.88665,26,31.3,6.98,21.6
16.84756,49.7256,21,37,4.33,10.5
16.88699,50.19253,5,45.1,3.72,7.6
16.82273,49.74521,17,18.9,4.24,9.9
16.80493,49.61991,18,27.5,3.75,9.9
16.77239,49.38725,15,30.4,4.13,9.7
16.75503,49.262,22,14.5,4.49,8.2
16.71569,48.97551,29,18.3,8.08,23.4
16.75235,49.64111,21,11.4,6.46,11.1
16.67335,49.06828,44,62.1,7.08,35.9
16.75237,50.03815,13,25,5.25,137
16.67025,49.66454,12,11.6,5.85,8.1
16.56667,49.09269,31,22.3,7.09,21.6
16.53333,48.84198,16,16.4,5.54,11.6
16.52394,48.77035,30,18.5,7.7,25.4
16.63181,49.77483,10,12.9,4.63,4.1
16.60945,49.61349,17,21.5,5.86,12.7
16.59102,49.88523,20,11.8,7.22,14.3
16.4824,49.07953,22,13.2,8.07,18.1
16.44014,48.7571,6,8.6,7.17,5.8
16.56254,50.08537,15,22.6,5.2,7.9
16.55761,50.04956,20,17,5.8,12.3
16.39757,48.84985,19,15.5,7.09,13.6
16.45834,49.73053,19,12.9,7.04,12.4
16.44159,49.60518,8,13.6,6.99,16.3
16.48874,50.16175,20,34.4,6.76,18.7
16.39823,49.69783,27,24.4,7.33,21.8
16.36289,49.42924,11,39.8,5.35,13
16.34186,49.26802,12,23.2,4.87,7.6
16.27985,48.78437,19,10.6,6.91,11.9
