x,y,Clay,SOC,pH,CEC
14.92258,51.30289,8,16.2,5.84,5.6
14.86932,51.07144,14,13.4,7.42,12.3
14.83139,50.98255,14,30.4,4.18,8.3
14.78935,51.12837,13,20,5.26,8.5
14.78707,51.38057,3,27.9,4.05,5.8
14.77384,51.25507,7,32.2,3.85,5.9
14.68621,51.24061,7,13.7,6.06,6.3
14.66737,51.61954,4,20.3,4.9,3.3
14.61818,51.13529,12,11.5,6.41,8.2
14.60764,51.3158,5,10.4,4.94,1
14.5915,51.15437,11,13.1,6.06,9.1
14.648347,51.998419,5,33.9,4.7,5.6
14.6024,51.55007,19,96.9,4.41,12.5
14.57006,51.22723,32,22.8,6.21,17.6
14.56652,51.19135,11,13.9,6.33,8.8
14.55927,51.40773,3,10.9,5.05,2.9
14.58837,51.98275,3,35.3,3.99,4.4
14.56472,51.74955,4,12.9,4.6,1
14.50764,51.17564,17,20,6.49,12.5
14.49618,51.64419,3,14.3,4.74,2.5
14.46648,51.32238,8,38,4.29,6.1
14.46163,51.28518,5,26.2,4.42,5.5
14.44531,51.12405,15,24.8,5.71,10.2
14.5247,52.21926,3,15.8,5.45,2.9
14.49232,51.89655,3,10.5,4.25,1
14.46019,51.57364,5,17,5.03,4.6
14.52146,52.45336,10,12.8,6.65,7.9
14.48287,52.09481,2,17.5,4.19,4.3
14.37727,51.61272,3,22,4.74,2.3
14.45101,52.65413,24,14.6,7.24,21.6
14.39018,52.04432,2,27.5,3.83,4.7
14.37864,52.2248,9,78.7,4.05,11.4
14.28582,51.25605,11,11.9,6.02,6.2
14.3741,52.47694,4,12.1,5.24,3.7
14.36705,52.40517,2,18.1,4.29,4.4
14.25889,51.27505,11,65.8,3.79,8.9
14.25059,51.18533,14,22.4,4.93,7.3
14.24395,51.11356,11,79.4,3.84,9.3
14.357114,52.603576,29,14.9,7.55,25.1
14.32544,52.28071,4,96.4,4.09,8.7
14.29425,51.95782,3,34.8,4.03,3.6
14.27877,51.79639,3,20.2,4.36,4.5
14.24858,51.47346,2,22.7,4.81,3.8
14.33297,52.65842,27,20.1,7.43,24.2
14.32942,52.62257,35,19.7,6.98,25.5
14.26352,51.94094,4,60.4,3.61,4.2
14.25159,51.81538,3,11.4,4.4,1
14.20328,51.29508,2,22.2,3.96,3.4
14.1861,51.4217,12,13,4.95,6.2
14.28266,52.75027,48,22.6,7.46,32.8
14.23933,52.30183,5,43.8,4.37,3.5
14.16892,51.54829,5,25.4,4.67,2.5
14.11709,50.9741,5,45.6,4.09,6.6
14.10596,50.84845,7,187.7,3.58,13.7
14.25484,52.76926,64,32,6.69,38.9
14.23404,52.55401,4,6.6,7.44,4.5
14.17303,51.90821,2,16.9,4.37,3.7
14.28703,53.39812,8,10.6,6.34,6.8
14.19601,52.46536,7,12.2,7.09,6
14.19263,52.42947,3,15.8,4.16,2
14.04925,50.8505,10,16.2,6.41,6.6
14.24808,53.30948,12,13.6,7.43,10.3
14.23217,53.14805,5,6.7,4.45,4.1
14.11333,51.89229,9,18.9,5.57,7.4
14.06968,51.40777,3,5.9,4.78,1
14.22873,53.41814,5,34.3,7.14,20.8
14.19191,53.04146,16,10.3,7.52,12.1
14.07134,51.74974,2,14.1,4.35,4.1
14.21107,53.54473,5,116.3,5.29,44.6
14.18645,53.29362,6,8.9,8.14,7.5
14.13309,52.73751,2,12.6,7.13,4.2
