x,y,Clay,SOC,pH,CEC
24.00788,50.59188,13,12.7,7.81,16.3
23.83714,50.50327,18,9.4,7.65,13.9
23.76793,50.65768,21,11,7.93,14.9
23.70525,50.7382,20,10.1,7.98,20.3
23.65824,50.57965,18,7.8,7.81,14.9
23.61162,50.42105,42,29.1,7.87,33.2
23.76704,51.041,16,6.7,7.95,11.9
23.64603,50.63584,3,5.5,5.1,3.1
23.57796,50.69869,24,20,7.39,23.9
23.53043,50.83201,15,8.9,5.82,10.2
23.50975,50.76151,9,7.1,7.48,8
23.42527,50.57088,21,9.3,4.97,9.6
23.40765,50.60943,8,8.1,5.58,4.4
23.56135,51.22966,8,14.2,5.6,5.8
23.39511,50.66561,26,30.5,7.5,31.3
23.31898,50.6016,9,10,5.81,5.2
23.46619,51.20434,13,12.6,6.15,8.8
23.40154,51.08423,20,31.9,7.49,27.8
23.35505,50.92554,4,6.4,5.59,4.6
23.4411,51.31668,3,10.8,6.37,5.3
23.31162,50.87591,18,9.7,5.31,8.6
23.3014,50.84064,13,9.1,7.59,12.1
23.42856,51.37285,5,18.2,6.29,8
23.38154,51.2142,8,11.7,5.99,6.1
23.25812,50.79098,21,14.5,7.63,18.4
23.40546,51.39377,4,7.5,6.54,4.2
23.37933,51.30562,9,14.7,7.14,10.5
23.28627,50.98825,20,13.8,7.9,14.5
23.21999,50.75894,13,12.8,5.5,9.2
23.20988,50.72366,33,114.1,7.38,37.4
23.03089,50.08839,8,8.6,5.04,2.8
23.50767,51.92904,4,9,4.36,1
23.23518,51.01237,5,8.8,7.14,7.5
23.18936,50.85361,21,6.1,5.5,11.6
23.26862,51.22726,25,18.4,7.37,22.9
23.1664,50.87449,10,6.6,7.76,9.6
22.86622,49.79753,32,23,7.81,10.9
23.46641,51.98853,3,15.5,4.15,3.2
23.21214,51.23375,10,12,7.04,9.8
23.02225,50.67233,14,7.2,6.57,3.3
22.92368,50.31921,9,15,4.98,4.2
22.67572,49.40041,19,32.4,5.2,4.6
23.27991,51.66357,6,14.7,5.59,4.2
23.74861,53.2698,6,9.7,6.05,5.3
23.37828,52.08984,6,10,7.29,5.6
23.14285,51.29639,13,21.3,7.55,18.7
23.09685,51.13758,16,14.4,7.71,14.1
23.07881,51.17607,6,12,7.58,8.8
22.78255,50.11668,4,14.6,4,9.4
22.76819,50.06365,8,32.6,5.81,1
22.70634,49.83393,17,11.8,5.34,6.3
23.2257,51.77904,3,6.6,4.08,1
23.69424,53.38556,7,13.2,4.56,4.1
23.68283,53.35035,14,26.3,5.87,9.8
23.60357,53.10391,3,8.5,4.56,1
23.5532,52.94541,7,37.4,6.4,18.5
22.62325,49.73405,25,25.8,4.8,13.3
